City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Rainfall over last 1hr,Snowfall over last 1hr
261,Ranghulu,CN,46.65,124.87,90.0,45,34,6.24,scattered clouds,0.0,0.0
262,Nyurba,RU,63.28,118.33,65.16,90,100,0.16,overcast clouds,0.0,0.0
263,Rincon,US,32.3,-81.24,87.8,52,20,5.82,few clouds,0.0,0.0
264,Tekkali,IN,18.62,84.23,82.02,81,100,6.64,overcast clouds,0.0,0.0
265,Kardla,EE,59.0,22.75,54.0,91,48,3.0,scattered clouds,0.0,0.0
266,San Matias,BO,-16.37,-58.4,78.49,55,100,2.3,overcast clouds,0.0,0.0
267,Verkhnevilyuysk,RU,63.45,120.32,70.34,68,100,5.86,overcast clouds,0.0,0.0
268,Alihe,CN,50.57,123.72,92.03,27,77,1.99,broken clouds,0.0,0.0
269,Severo-Kurilsk,RU,50.68,156.12,51.22,88,98,9.95,overcast clouds,0.0,0.0
270,Teseney,ER,15.11,36.66,76.26,70,45,14.65,light rain,0.26,0.0
271,Navahrudak,BY,53.6,25.83,43.54,100,0,7.43,clear sky,0.0,0.0
272,Tura,IN,25.52,90.22,75.38,97,100,5.28,light rain,0.11,0.0
273,Jacksonville,US,30.33,-81.66,86.0,74,1,3.36,clear sky,0.0,0.0
274,Lillooet,CA,50.69,-121.94,55.4,87,90,2.24,mist,0.0,0.0
275,Odweyne,SO,9.41,45.06,72.01,61,98,21.92,overcast clouds,0.0,0.0
276,Namasuba,UG,0.69,32.42,60.37,100,33,1.86,scattered clouds,0.0,0.0
277,Yulara,AU,-25.24,130.99,55.4,43,0,16.11,clear sky,0.0,0.0
278,Henties Bay,NA,-22.12,14.28,52.0,95,0,1.01,clear sky,0.0,0.0
279,Kota Tinggi,MY,1.74,103.9,80.6,88,40,3.36,scattered clouds,0.0,0.0
280,Anadyr,RU,64.75,177.48,59.0,67,40,15.66,scattered clouds,0.0,0.0
281,Sembe,CG,1.65,14.58,69.89,93,5,3.8,clear sky,0.0,0.0
282,General Roca,AR,-39.03,-67.58,44.6,45,100,6.93,overcast clouds,0.0,0.0
283,Mamallapuram,IN,12.63,80.17,77.0,94,75,5.82,haze,0.0,0.0
284,Wencheng,CN,33.06,113.8,76.44,73,70,7.23,broken clouds,0.0,0.0
285,Borovskoy,KZ,53.8,64.15,67.87,75,0,1.81,clear sky,0.0,0.0
286,Canoas,BR,-29.92,-51.18,57.2,100,90,2.24,fog,0.0,0.0
287,Torbay,CA,47.67,-52.73,55.4,87,90,23.04,overcast clouds,0.0,0.0
288,Isiolo,KE,0.35,37.58,64.8,71,16,10.36,few clouds,0.0,0.0
289,Bhanpuri,IN,21.1,80.92,83.16,71,100,10.02,overcast clouds,0.0,0.0
290,George,ZA,-33.96,22.46,66.2,19,0,23.04,clear sky,0.0,0.0
291,Airai,TL,-8.93,125.41,68.58,68,100,6.17,overcast clouds,0.0,0.0
292,Byron Bay,AU,-28.65,153.62,66.99,59,40,10.29,scattered clouds,0.0,0.0
293,Sagua La Grande,CU,22.81,-80.08,73.4,94,40,4.7,scattered clouds,0.0,0.0
294,Moba,CN,33.23,105.02,67.14,78,100,4.18,overcast clouds,0.0,0.0
295,Kiruna,SE,67.86,20.23,46.4,93,100,3.36,overcast clouds,0.0,0.0
296,Luderitz,NA,-26.65,15.16,51.8,93,0,4.7,clear sky,0.0,0.0
297,Along,IN,28.17,94.77,73.74,90,100,0.49,light rain,0.64,0.0
298,Diego De Almagro,CL,-26.37,-70.05,49.12,72,0,1.52,clear sky,0.0,0.0
299,Mangit,UZ,40.6,70.96,75.2,50,45,6.93,scattered clouds,0.0,0.0
300,Khandbari,NP,27.37,87.2,75.43,75,93,1.16,light rain,0.4,0.0
301,Saldanha,ZA,-33.01,17.94,57.2,87,58,13.87,broken clouds,0.0,0.0
302,Gogrial,SS,8.53,28.1,70.88,94,93,4.18,overcast clouds,0.0,0.0
303,Namuac,PH,18.61,121.17,84.97,74,100,7.56,moderate rain,1.61,0.0
304,Staryy Nadym,RU,65.61,72.68,62.02,83,89,15.12,light rain,0.5,0.0
305,Damietta,EG,31.42,31.81,74.89,83,0,10.47,clear sky,0.0,0.0
306,Pontal Do Parana,BR,-25.65,-48.51,60.01,81,0,5.37,clear sky,0.0,0.0
307,Mehamn,NO,71.04,27.85,48.22,81,0,4.05,clear sky,0.0,0.0
308,Wajir,KE,1.75,40.06,72.91,73,2,12.37,clear sky,0.0,0.0
309,Lipari,IT,38.47,14.95,73.99,71,0,1.99,clear sky,0.0,0.0
310,Weatherford,US,32.76,-97.8,90.0,67,8,3.0,clear sky,0.0,0.0
311,Tezu,IN,27.92,96.17,75.72,85,100,2.24,light rain,0.83,0.0
312,Kodiak,US,57.79,-152.41,53.6,81,90,16.11,overcast clouds,0.0,0.0
313,Kungurtug,RU,50.6,97.52,71.53,50,92,3.44,overcast clouds,0.0,0.0
314,Nouadhibou,MR,20.93,-17.03,72.37,79,0,10.16,light rain,0.11,0.0
315,Aswan,EG,24.09,32.91,80.91,24,0,8.63,clear sky,0.0,0.0
316,Te Anau,NZ,-45.42,167.72,42.91,74,4,0.43,clear sky,0.0,0.0
317,Kaduqli,SD,11.02,29.72,70.65,91,94,0.98,overcast clouds,0.0,0.0
318,Jaisalmer,IN,26.91,70.92,83.35,67,28,18.84,scattered clouds,0.0,0.0
319,Nouna,BF,12.73,-3.87,83.44,61,66,10.89,broken clouds,0.0,0.0
320,Biltine,TD,14.53,20.92,86.22,45,82,8.52,broken clouds,0.0,0.0
321,Charagua,BO,-19.8,-63.22,62.62,69,8,3.13,clear sky,0.0,0.0
322,Bud,US,39.45,-86.18,77.0,69,1,6.4,clear sky,0.0,0.0
323,Chipinge,ZW,-20.19,32.62,42.93,94,0,2.66,clear sky,0.0,0.0
324,Wad Madani,SD,14.4,33.52,78.48,69,55,16.69,broken clouds,0.0,0.0
325,Tautira,PF,-17.73,-149.15,80.6,69,75,16.11,broken clouds,0.0,0.0
326,Redcar,GB,54.62,-1.06,57.99,64,48,5.99,scattered clouds,0.0,0.0
327,Miguel Alves,BR,-4.17,-42.9,75.11,69,11,3.78,few clouds,0.0,0.0
328,Boende,CD,-0.22,20.87,72.93,91,100,1.72,overcast clouds,0.0,0.0
