City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
464,Nabire,ID,87.4,broken clouds,-3.37,135.48,Hotel Nusantara Nabire
465,Golden,US,84.2,broken clouds,39.76,-105.22,"The Golden Hotel, Ascend Hotel Collection"
466,Quatre Cocos,MU,72.0,shower rain,-20.21,57.76,Veranda Palmar Beach Hotel
472,Oranjestad,AW,82.4,few clouds,12.52,-70.03,Divi Village Golf & Beach Resort
474,Sao Filipe,CV,75.04,overcast clouds,14.9,-24.5,Tortuga B&B
475,Valdez,EC,78.44,overcast clouds,1.25,-78.98,hotel Stefany
479,Dhanaura,IN,88.09,clear sky,28.97,78.25,SHIV RESORT
486,Rizhao,CN,74.44,overcast clouds,35.43,119.46,Novotel Rizhao Suning
488,Zyryanka,RU,78.06,overcast clouds,65.75,150.85,Zyryanka
489,Amapa,BR,71.56,broken clouds,1.0,-52.0,
490,Boa Vista,BR,77.0,few clouds,2.82,-60.67,Aipana Plaza Hotel
491,Namie,JP,70.0,overcast clouds,37.48,141.0,いこいの村なみえ(福島県)
492,Iranshahr,IR,87.8,clear sky,27.2,60.68,کافی نت دانشگاه
493,Takoradi,GH,73.78,scattered clouds,4.88,-1.76,Raybow International Hotel
494,Mitu,CO,71.35,few clouds,1.2,-70.17,
498,Garowe,SO,76.82,broken clouds,8.41,48.48,Curubo Hotel
499,Sawakin,SD,84.92,scattered clouds,19.11,37.33,فندق الدويم
500,Lorengau,PG,86.47,broken clouds,-2.02,147.27,Lorengau Harbourside Hotel
501,Marsh Harbour,BS,83.03,overcast clouds,26.54,-77.06,Abaco Beach Resort
503,Kalmunai,LK,81.68,overcast clouds,7.42,81.82,VS Villa
506,Eyl,SO,81.39,scattered clouds,7.98,49.82,Amiin Hotel
507,Papayal,PE,70.21,overcast clouds,-4.08,-80.74,
508,Severomuysk,RU,71.04,few clouds,56.15,113.43,
509,Shubarshi,KZ,86.05,overcast clouds,48.59,57.19,
510,Barra Patuca,HN,79.9,clear sky,15.8,-84.28,
511,Jiexiu,CN,74.46,scattered clouds,37.02,111.91,IU Hotel Jinzhong Yuhua Road
516,Porto Novo,BJ,75.06,overcast clouds,6.5,2.6,Tour Eiffel Hotel Benin
518,Conakry,GN,75.2,broken clouds,9.54,-13.68,Riviera Royal Hotel
519,Bumba,CD,72.5,overcast clouds,2.18,22.47,Hôtel Cape Town
520,Naze,JP,87.8,broken clouds,28.37,129.48,奄美ポートタワーホテル
521,Birin,NP,77.0,overcast clouds,26.89,88.07,HOTEL SURYODAYA
